station_id,lat,lon
US1TXBLC012,30.0921,-98.3927
US1TXBLC019,30.3814,-98.161
US1TXBLC020,30.3004,-98.5435
US1TXBLC023,30.0276,-98.335
US1TXBLC026,30.0611,-98.3544
US1TXBLC028,30.1365,-98.2915
US1TXBLC029,30.3427,-98.2188
US1TXBLC033,30.1229,-98.2673
US1TXBLC034,30.3582,-98.319
US1TXBLC035,30.0382,-98.4953
US1TXBLC036,30.3054,-98.3965
US1TXBLC038,30.1741,-98.5838
US1TXBLC040,30.1053,-98.5476
US1TXBLC041,30.1152,-98.2898
US1TXBLC042,30.4293,-98.1634
US1TXBLC046,30.4475,-98.3318
US1TXBLC047,30.0406,-98.3825
US1TXBLC048,30.3236,-98.4225
US1TXBLC050,30.0581,-98.4158
US1TXBLC051,30.1316,-98.4893
US1TXBLY002,34.2456,-102.7247
US1TXBND001,29.8323,-99.2781
US1TXBND002,29.7437,-99.5323
US1TXBND004,29.7777,-99.3976
US1TXBND005,29.7303,-99.0091
US1TXBND008,29.7453,-98.9804
US1TXBND013,29.711,-98.9123
US1TXBND018,29.5938,-98.9302
US1TXBND019,29.6212,-98.9364
US1TXBND022,29.8431,-99.119
US1TXBND023,29.7202,-99.1262
US1TXBND025,29.8252,-99.2348
US1TXBND029,29.7714,-99.0161
US1TXBND030,29.8175,-99.0839
US1TXBND033,29.73,-99.0073
US1TXBND037,29.7284,-99.0735
US1TXBND038,29.6597,-98.9794
US1TXBND039,29.7284,-99.0735
US1TXBND040,29.75,-98.857
US1TXBND041,29.7759,-99.1063
US1TXBND042,29.6369,-99.4899
US1TXBND043,29.7758,-98.9652
US1TXBND044,29.7717,-98.9567
US1TXBND047,29.7473,-98.8643
US1TXBND048,29.6841,-98.9268
US1TXBND050,29.7166,-98.988
US1TXBND054,29.8433,-99.2694
US1TXBND055,29.7811,-99.2453
US1TXBND058,29.8002,-98.9632
US1TXBND059,29.7976,-99.1434
US1TXBND060,29.8069,-99.2518
US1TXBND062,29.6257,-98.9058
US1TXBND064,29.7973,-99.2077
US1TXBND066,29.8254,-99.1599
US1TXBND070,29.6925,-98.9789
US1TXBND071,29.6251,-99.1542
US1TXBND072,29.7281,-98.8598
US1TXBND073,29.6945,-99.0651
US1TXBND074,29.7321,-99.0838
US1TXBND075,29.7893,-99.1372
US1TXBND076,29.7741,-99.0162
US1TXBND077,29.6274,-98.9641
US1TXBND078,29.6878,-98.9951
US1TXBND079,29.7986,-99.2912
US1TXBND081,29.798,-99.2847
US1TXBND083,29.8158,-99.246
US1TXBRC002,34.4097,-101.0528
US1TXBRC003,34.4105,-101.0482
US1TXBRC004,34.4198,-101.0572
US1TXBRC005,34.441,-101.0928
US1TXBRC006,34.4416,-101.0549
US1TXBRC007,34.374,-101.0765
US1TXBRC009,34.3752,-101.0225
US1TXBRC010,34.4651,-101.2167
US1TXBRK002,27.2255,-98.1525
US1TXBRK003,27.1059,-98.2058
US1TXBRK004,27.213,-98.0446
US1TXBRK005,27.2257,-98.1516
US1TXBRK006,27.2128,-98.1505
US1TXBRL007,30.5475,-96.5282
US1TXBRL008,30.3172,-96.638
US1TXBRL011,30.5473,-96.6809
US1TXBRL014,30.3587,-96.6835
US1TXBRL015,30.5168,-96.5762
