fips_code,date,flood,hail,heat,high_wind,hurricane,lightning,other,thunderstorm_wind,tornado,wildfire,winter_storm,total_events,max_magnitude,total_damage,total_injuries,total_deaths,any_storm
48001,2020-03-04,0,0,0,0,0,0,0,1,0,0,0,2,61.0,6000.0,0,0,1
48001,2020-04-12,0,0,0,0,0,0,0,1,0,0,0,1,61.0,0.0,0,0,1
48001,2020-04-19,0,1,0,0,0,0,0,0,0,0,0,5,1.75,5000.0,0,0,1
48001,2020-04-22,0,0,0,0,0,0,0,1,0,0,0,1,50.0,0.0,0,0,1
48001,2020-07-07,1,0,0,0,0,0,0,0,0,0,0,1,,0.0,0,0,1
48001,2020-07-09,0,0,1,0,0,0,0,0,0,0,0,1,,0.0,0,0,1
48001,2020-08-12,0,0,1,0,0,0,0,0,0,0,0,1,,0.0,0,0,1
48001,2020-08-28,0,0,1,0,0,0,0,0,0,0,0,1,,0.0,0,0,1
48001,2020-09-01,0,0,1,0,0,0,0,0,0,0,0,1,,0.0,0,0,1
48001,2021-01-10,0,0,0,0,0,0,0,0,0,0,1,1,,0.0,0,0,1
48001,2021-02-13,0,0,0,0,0,0,0,0,0,0,1,1,,0.0,0,0,1
48001,2021-02-15,0,0,0,0,0,0,0,0,0,0,1,1,,850000.0,0,0,1
48001,2021-04-09,0,1,0,0,0,0,0,0,0,0,0,9,1.5,5000.0,0,0,1
48001,2021-05-09,0,1,0,0,0,0,0,0,0,0,0,1,1.75,4000.0,0,0,1
48001,2021-05-31,1,0,0,0,0,0,0,0,0,0,0,1,,0.0,0,0,1
48001,2021-06-08,0,0,0,0,0,0,0,1,0,0,0,2,50.0,1000.0,0,0,1
48001,2021-07-29,0,0,1,0,0,0,0,0,0,0,0,1,,0.0,0,0,1
48001,2021-08-01,0,0,1,0,0,0,0,0,0,0,0,1,,0.0,0,0,1
48001,2021-09-01,0,0,1,0,0,0,0,0,0,0,0,1,,0.0,0,0,1
48001,2022-01-01,0,0,0,0,0,0,1,0,0,0,0,1,,0.0,0,0,0
